#seq,BW_1,BW_2,BW_3,BW_4,BW_5,BW_6,BW_7,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,QCS_1,QCS_2,QCS_3,QCS_4,QCS_5,QCS_6,QCS_7,QCS_8,TH_1,TH_2,TH_3,TH_4,TH_5,TH_6,TH_7,TH_8,TH_9,TH_10
ASV_264,0,0,0,0,0,0,0,101,386,34,159,288,171,124,74,336,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,412,29,26,204,66,39,75,192,321
ASV_267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,421,49,72,97,149,56,34,128,467
ASV_268,0,0,0,0,0,0,0,101,439,85,155,166,190,140,142,224,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_269,0,0,0,0,0,0,0,95,441,139,135,230,136,142,161,176,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_270,0,0,0,0,0,0,0,34,48,18,76,49,25,35,17,37,20,0,0,0,0,0,0,0,0,112,24,127,117,143,325,75,92,0,0
ASV_271,0,0,0,0,0,0,0,155,294,209,175,158,109,320,124,137,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,199,68,76,72,4,86,74,605,484
ASV_274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,255,70,45,55,16,58,72,535,519
ASV_276,0,0,0,0,0,0,0,0,41,0,0,46,24,0,18,0,0,0,0,0,0,0,0,0,0,69,41,199,68,170,247,73,52,45,46
ASV_277,0,0,0,0,0,0,0,0,18,0,0,26,13,24,17,18,45,0,0,0,0,0,0,0,0,102,34,158,78,123,224,65,50,26,24
ASV_278,114,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,406,0,0,0,0,0,0,0,0,0,0,0,0
ASV_279,0,0,0,0,0,0,0,0,27,0,0,72,44,23,0,90,0,0,0,0,0,0,0,0,0,85,44,57,43,173,193,23,41,18,37
ASV_280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,312,42,53,51,79,68,38,405,356
ASV_281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,447,56,49,58,93,52,55,210,476
ASV_282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,749,0,0,0,0,0,0,0,0,0,0,0,0
ASV_284,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,317,0,0,0,0,0,0,0,0,0,0,0,0
ASV_285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,245,60,122,45,92,122,56,424,280
ASV_286,0,0,0,0,0,0,0,152,293,76,233,228,158,186,68,279,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_287,0,0,0,0,381,0,0,0,72,4,31,28,0,22,24,21,0,0,0,0,0,0,0,0,0,86,35,89,138,132,121,73,70,53,42
ASV_288,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,160,0,0,0,0,0,0,0,0,0,0,0,0
ASV_289,0,0,0,0,506,0,0,33,185,72,47,83,50,45,29,37,89,0,0,0,0,0,0,0,0,29,0,79,34,55,0,25,16,0,74
ASV_290,0,0,0,0,0,0,0,6,42,24,13,3,24,14,34,18,17,0,0,0,0,0,0,0,0,97,41,349,152,280,102,169,242,23,50
ASV_292,0,0,0,0,0,0,0,85,435,119,96,148,186,170,184,117,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_293,0,0,0,0,0,0,0,37,315,107,159,207,184,155,189,196,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_294,0,0,0,0,0,0,0,28,66,22,81,32,36,41,15,25,14,0,0,0,0,0,0,0,0,90,0,141,99,210,255,74,74,0,19
ASV_295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,428,27,48,53,27,50,14,378,396
ASV_296,0,0,0,0,0,0,591,23,173,103,48,62,37,48,54,56,52,0,0,0,0,0,0,0,0,15,0,72,41,46,0,27,25,0,0
ASV_297,0,0,0,0,0,0,519,15,32,47,5,22,22,9,19,15,24,0,0,0,0,0,0,0,0,70,46,93,92,174,83,124,57,47,61
ASV_298,149,0,0,0,0,0,0,26,52,69,46,39,29,38,12,7,22,0,0,0,0,0,0,0,0,60,7,136,163,225,91,85,85,15,13
ASV_299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,414,78,46,92,66,67,30,116,566
ASV_300,0,0,0,0,0,0,0,0,40,0,0,29,17,0,14,0,0,0,0,0,0,0,0,0,0,85,23,130,70,174,223,79,55,0,26
ASV_301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,92,279,47,59,31,0,80,80,477,370
ASV_303,0,0,0,0,0,0,0,0,118,32,0,36,29,16,53,68,48,0,0,0,0,0,0,0,0,57,91,122,69,113,127,62,63,73,94
ASV_305,0,0,0,0,0,0,0,144,263,321,122,70,115,308,188,66,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_306,0,0,0,0,0,0,0,23,47,54,63,34,28,41,10,16,9,0,0,0,0,0,0,0,0,124,0,160,104,166,152,91,93,8,42
ASV_310,0,0,0,0,0,0,0,11,56,30,22,38,35,34,25,39,22,0,0,0,0,0,0,0,0,81,43,148,101,145,193,126,48,57,52
ASV_311,0,0,0,0,0,0,0,0,36,0,0,12,24,0,28,0,0,0,0,0,0,0,0,0,0,100,44,140,75,205,137,76,66,18,58
ASV_312,0,0,0,0,0,0,0,40,54,7,79,60,35,27,5,29,9,0,0,0,0,0,0,0,0,109,0,64,73,134,177,65,61,26,22
ASV_313,0,0,0,0,0,0,0,4,49,18,6,5,5,20,25,19,25,0,0,0,0,0,0,0,0,141,51,273,186,297,37,139,175,35,36
ASV_315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,330,35,26,38,35,51,47,347,442
ASV_316,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,392,0,0,0,0,0,0,0,0,0,0,0,0
ASV_317,0,0,0,0,0,0,0,103,425,38,151,231,118,120,55,255,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
